PERMIT NUMBER,PERMIT TYPE,PERMIT STATUS,PERMIT SUB-TYPE,WORK DESCRIPTION,PERMIT ISSUE DATE,ESTIMATED VALUE OF WORK,STATE VALUATION,CONTRACTOR,LOCATION,COUNT
B 15-002192-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"MONDAY, JANUARY 12, 2015",,$2507.00,J CARVER CONSTRUCTION INC,"920 WHITE BEAR AVE N
Saint Paul, MN
(44.968996, -93.02529)",1
B 15-002249-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"MONDAY, JANUARY 12, 2015",,$13641.00,WINDOW CONCEPTS OF MINNESOTA INC,"1815 ELEANOR AVE
Saint Paul, MN
(44.920667, -93.176939)",1
B 14-339558-REM,Building Permit,Inspected,Commercial,Remodel,"MONDAY, JANUARY 12, 2015",$88000.00,$88000.00,BLUE CONSTRUCTION INC,"2399 UNIVERSITY AVE W - WORKHORSE COFFEE
Saint Paul, MN
(44.964287, -93.198267)",1
B 14-356189-REM,Building Permit,Inspected,Commercial,Remodel,"MONDAY, JANUARY 12, 2015",$75.00,$26700.00,R M DREYLING CONSTRUCTION CO INC,"644 BAYFIELD ST - St Paul Downtown Airport Terminal
Saint Paul, MN
",1
BS 14-287866-SGN,Billboard / Sign,Active/Issued,Signs,Commercial Replace,"MONDAY, JANUARY 12, 2015",$18970.00,,CANDILLE DEMARS DEMARS SIGNS INC,"2169 STILLWATER AVE - ACHIEVE LANGUAGE ACADEMY
Saint Paul, MN
(44.969137, -93.008772)",1
BS 14-349754-TMP,Billboard / Sign,Active/Issued,Temporary Sign,Commercial New,"MONDAY, JANUARY 12, 2015",$150.00,,West Side Flats Apartments Llc,"84 WABASHA ST S - West Side Flats Apartments
Saint Paul, MN
",1
BS 14-351481-SGN,Billboard / Sign,Active/Issued,Signs,Commercial New,"MONDAY, JANUARY 12, 2015",$8720.00,,SIGNSATIONAL GRAPHICS,"1539 UNIVERSITY AVE W
Saint Paul, MN
(44.955745, -93.165573)",1
BS 14-353420-SGN,Billboard / Sign,Active/Issued,Signs,Commercial New,"MONDAY, JANUARY 12, 2015",$12000.00,,JOHN REITER ARROW SIGN CO,"215 EVA ST - Baldingers Bakery
Saint Paul, MN
(44.938313, -93.07996)",1
BS 14-356440-SGN,Billboard / Sign,Active/Issued,Dynamic Display Sign,Commercial New,"MONDAY, JANUARY 12, 2015",$96000.00,,KEVIN SNYDER SIGNART CO INC,"235 MARSHALL AVE
Saint Paul, MN
(44.948191, -93.110946)",1
E 15-002365-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$1200.00,,CROCUS HILL ELECTRIC CO,"1272 OSCEOLA AVE
Saint Paul, MN
(44.935764, -93.153923)",1
E 15-002464-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$500.00,,Scott Montgomery MONTGOMERY ELECTRIC INC,"1972 JULIET AVE
Saint Paul, MN
(44.929778, -93.183711)",1
E 15-002256-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$400.00,,MJ ELECTRIC MN INC,"1440 ENGLEWOOD AVE
Saint Paul, MN
(44.964094, -93.161321)",1
E 15-002340-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$150.00,,Spark Electric Co,"1048 CHURCHILL ST
Saint Paul, MN
(44.972734, -93.145518)",1
E 15-002420-ELC,Electrical Permit,Inspected,Electrical,Commercial Repair/Alter,"MONDAY, JANUARY 12, 2015",$5000.00,,Jackie Daley Daley Electric LLC,"2229 CHILDS ROAD
Saint Paul, MN
(44.928069, -93.046979)",1
E 15-002499-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$500.00,,Jennifer L Niemela,"1657 CHARLES AVE
Saint Paul, MN
(44.957476, -93.170354)",1
EV 14-355524-PAS,Elevating Device,Active/Issued,Passenger,Commercial Repair/Alter,"MONDAY, JANUARY 12, 2015",$21500.00,,All City Elevator Inc,"2201 BURNS AVE - HOLIDAY INN ST PAUL EAST
Saint Paul, MN
",1
M 15-001295-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 12, 2015",$5011.00,,JON SIMONSON SEDGWICK HTG & A/C CO,"1992 LOWER ST DENNIS ROAD
Saint Paul, MN
(44.907741, -93.162564)",1
PG 14-349961-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,GREG MARTIN MN PLUMBING & APPLIANCES INC,"820 EMERALD ST
Saint Paul, MN
(44.965528, -93.20774)",1
PG 15-000972-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$900.00,,CHARLES AVOLES ST PAUL PIPEWORKS,"1965 PORTLAND AVE
Saint Paul, MN
(44.94293, -93.183444)",1
PG 15-000978-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"66 NELSON ST
Saint Paul, MN
(44.943032, -93.011279)",1
PG 15-000980-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"1730 CALIFORNIA AVE E
Saint Paul, MN
(44.991054, -93.027146)",1
PG 15-000982-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"697 GRIGGS ST S
Saint Paul, MN
(44.920434, -93.151748)",1
PG 15-000985-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"500 ROBERT ST N - Common Area CIC No 535 Rossmor Condo 1
Saint Paul, MN
",1
PG 15-000989-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"879 KENNETH ST
Saint Paul, MN
(44.914829, -93.183709)",1
PG 15-000991-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"1670 SIMS AVE
Saint Paul, MN
(44.969533, -93.029869)",1
PG 15-000992-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"217 WHEELOCK PKWY W
Saint Paul, MN
(44.989666, -93.109198)",1
PG 15-001000-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,CHARLES GABRELCIK LINN STAR TRANSFER INC,"289 5TH ST E - Market House Condominium - Common Areas
Saint Paul, MN
",1
PG 15-001309-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,GREG MARTIN MN PLUMBING & APPLIANCES INC,"1681 PINEHURST AVE
Saint Paul, MN
(44.918844, -93.171294)",1
PG 15-001600-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Commercial Alter,"MONDAY, JANUARY 12, 2015",$3200.00,,NORTHERN MECHANICAL CONTRACTORS INC,"172 6TH ST E - JACKSON TOWER @ GALTIER PLAZA
Saint Paul, MN
",1
PG 15-001998-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$3730.00,,LEAH LODERMEIER FIRESIDE HEARTH & HOME,"2241 PRINCETON AVE
Saint Paul, MN
(44.936132, -93.195241)",1
PG 15-002154-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$800.00,,GLENN ROESKE SUN RAY PLUMBING & HEATING INC.,"1151 SUPORNICK LANE - Roosevelt Public Housing
Saint Paul, MN
(44.975604, -93.033712)",1
PG 15-002156-GSF,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Gasfitting Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$800.00,,GLENN ROESKE SUN RAY PLUMBING & HEATING INC.,"1585 JESSAMINE LANE - Roosevelt Public Housing
Saint Paul, MN
(44.974127, -93.033325)",1
PG 14-356522-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,GREG MARTIN MN PLUMBING & APPLIANCES INC,"2088 MARGARET ST
Saint Paul, MN
(44.96128, -93.012236)",1
PG 15-001182-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Repair,"MONDAY, JANUARY 12, 2015",$300.00,,ROBERT WYLLIE WYLLIE PLUMBING,"286 FORBES AVE
Saint Paul, MN
(44.940435, -93.112159)",1
PG 15-001185-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Repair,"MONDAY, JANUARY 12, 2015",$300.00,,ROBERT WYLLIE WYLLIE PLUMBING,"288 FORBES AVE
Saint Paul, MN
(44.940435, -93.112334)",1
PG 15-002067-GSF,Plumbing/Gasfitting/Inside Water Piping,Inspected,Gasfitting Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,GREG MARTIN MN PLUMBING & APPLIANCES INC,"1631 LEONE AVE
Saint Paul, MN
(44.947582, -93.031047)",1
PG 15-002152-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 12, 2015",$3000.00,,GLENN ROESKE SUN RAY PLUMBING & HEATING INC.,"2176 BUSH AVE
Saint Paul, MN
(44.964849, -93.008936)",1
W 15-001609-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$3000.00,,BRIAN NERISON KB SERVICE CO INC,"1813 SHERIDAN AVE
Saint Paul, MN
(44.901666, -93.176761)",1
W 15-001683-WRM,"Warm Air, Ventilation & General Sheet ",Active/Issued,Warm Air Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$3000.00,,BRIAN NERISON KB SERVICE CO INC,"83 MAYWOOD PLACE
Saint Paul, MN
(44.974473, -93.129678)",1
W 15-002005-VEN,"Warm Air, Ventilation & General Sheet ",Active/Issued,Ventilation Only,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$1100.00,,CENTRAIRE HEATING & AIR CONDITIONING INC,"1039 MARYLAND AVE E
Saint Paul, MN
(44.977538, -93.056723)",1
W 15-001515-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$3300.00,,NICK STECKHAHN AABBOTT/FERRARO HTG,"2219 KNAPP ST
Saint Paul, MN
(44.9785, -93.193818)",1
W 15-001935-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Replace,"MONDAY, JANUARY 12, 2015",$500.00,,MAYNARD JOHNSON SUNBURST HTG & A/C INC,"1837 BEECHWOOD AVE
Saint Paul, MN
(44.91524, -93.178064)",1
W 15-002087-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$150.00,,TOM SNUGGERUD MIDLAND HEATING & A/C,"1591 WESTERN AVE N
Saint Paul, MN
(44.988972, -93.115963)",1
W 15-002274-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Repair/Alter,"MONDAY, JANUARY 12, 2015",$400.00,,Thomas S Manthey,"51 MAGNOLIA AVE E
Saint Paul, MN
(44.973801, -93.098737)",1
E 15-004061-ELC,Electrical Permit,Active/Issued,Electrical,Commercial Repair/Alter,"MONDAY, JANUARY 19, 2015",$3000.00,,"Rose City Electric Co., Inc.","1345 GRAND AVE - Sinclair
Saint Paul, MN
(44.940029, -93.157034)",1
E 15-004069-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 19, 2015",$400.00,,DIANE MOYER HOME ENERGY CENTER,"835 CARROLL AVE
Saint Paul, MN
(44.950331, -93.135489)",1
E 15-004090-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 19, 2015",$500.00,,American Electric Inc,"2325 CHILCOMBE AVE
Saint Paul, MN
(44.982346, -93.199093)",1
E 15-004091-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 19, 2015",$500.00,,American Electric Inc,"1463 ASHLAND AVE
Saint Paul, MN
(44.943937, -93.162119)",1
E 15-004092-ELC,Electrical Permit,Active/Issued,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 19, 2015",$500.00,,American Electric Inc,"1972 NORFOLK AVE
Saint Paul, MN
(44.898329, -93.18371)",1
E 15-004063-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 19, 2015",$2000.00,,Mr Charles Minser ST CLOUD ELECTRIC LLC,"250 STONEBRIDGE BLVD
Saint Paul, MN
(44.933942, -93.19492)",1
E 15-004071-ELC,Electrical Permit,Inspected,Electrical,Commercial Repair/Alter,"MONDAY, JANUARY 19, 2015",$37066.00,,RETROFIT ELECTRIC,"755 PRIOR AVE N - Silgan Containers Corp
Saint Paul, MN
(44.965364, -93.182324)",1
PG 15-003321-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 19, 2015",$2000.00,,JOSH MCQUIRE BENJAMIN FRANKLIN PLUMBING,"765 COTTAGE AVE W
Saint Paul, MN
(44.982799, -93.132417)",1
PG 15-003374-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 19, 2015",$4400.00,,JOSH MCQUIRE BENJAMIN FRANKLIN PLUMBING,"695 STEWART AVE
Saint Paul, MN
(44.922671, -93.128957)",1
PG 15-003877-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 19, 2015",$700.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"1923 ARLINGTON AVE E
Saint Paul, MN
(44.984737, -93.019072)",1
PG 14-350283-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 19, 2015",$500.00,,GREG MARTIN MN PLUMBING & APPLIANCES INC,"1015 EDGEWATER BLVD
Saint Paul, MN
(44.97198, -93.009603)",1
PG 15-002621-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Repair,"MONDAY, JANUARY 19, 2015",$1500.00,,DENNIS BOEDDEKER DEN-MARK PLUMBING INC,"1322 BURR ST
Saint Paul, MN
(44.981137, -93.079872)",1
PG 15-003841-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 19, 2015",$1000.00,,JOHN STODOLA ALL STAR PLUMBING LLC,"1666 HUBBARD AVE
Saint Paul, MN
(44.965249, -93.170737)",1
W 15-003124-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Repair/Alter,"MONDAY, JANUARY 19, 2015",$800.00,,PHILLIP CHRISTIANSON TITAN HEATING & COOLING INC,"1299 HEWITT AVE
Saint Paul, MN
(44.966558, -93.155072)",1
B 15-005833-RPR,Building Permit,Active/Issued,Single Family Dwelling,Repair,"MONDAY, JANUARY 26, 2015",$4000.00,$4000.00,Joshua A Martens,"1312 WOODBRIDGE ST
Saint Paul, MN
(44.980621, -93.108441)",1
B 15-005874-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"MONDAY, JANUARY 26, 2015",,$7800.00,Nick Richardson 1ST CHOICE CHIMNEY COMPANY,"999 FAIRVIEW AVE S
Saint Paul, MN
(44.911293, -93.177203)",1
B 15-005907-REM,Building Permit,Active/Issued,Single Family Dwelling,Remodel,"MONDAY, JANUARY 26, 2015",$24500.00,$24500.00,Ronald D DeTomaso DETOMASO CONSTRUCTION,"232 BAKER ST E
Saint Paul, MN
(44.926657, -93.075868)",1
B 15-005918-REM,Building Permit,Active/Issued,Single Family Dwelling,Remodel,"MONDAY, JANUARY 26, 2015",$15000.00,$15000.00,Julaine Mccabe Schmidt,"1478 HAGUE AVE
Saint Paul, MN
(44.94577, -93.162713)",1
B 15-002767-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"MONDAY, JANUARY 26, 2015",$15685.00,$15685.00,CREW2 INC,"264 WYOMING ST E
Saint Paul, MN
(44.920387, -93.074521)",1
B 15-003228-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"MONDAY, JANUARY 26, 2015",$2001.00,$2001.00,Houa Lee Yang,"1126 ALBEMARLE ST
Saint Paul, MN
(44.975093, -93.107182)",1
B 15-005203-RPR,Building Permit,Inspected,Commercial,Repair,"MONDAY, JANUARY 26, 2015",$18500.00,$18500.00,TOAD RIVER CONSTRUCTION LLC,"1463 MARSHALL AVE
Saint Paul, MN
(44.948492, -93.162178)",1
B 15-005788-EXP,Building Permit,Inspected,Single Family Dwelling,Express Repair,"MONDAY, JANUARY 26, 2015",,$4500.00,Mr Robert Kammueller NKN Construction LLC.,"1728 ROME AVE
Saint Paul, MN
(44.91344, -93.173286)",1
B 15-005820-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"MONDAY, JANUARY 26, 2015",$10000.00,$10000.00,Marilyn J Winsor,"1164 MARYLAND AVE E
Saint Paul, MN
(44.977552, -93.051354)",1
B 15-005886-REM,Building Permit,Inspected,Single Family Dwelling,Remodel,"MONDAY, JANUARY 26, 2015",$30000.00,$30000.00,CUSTOM CONTRACTING LLC,"1855 LINCOLN AVE
Saint Paul, MN
(44.938998, -93.178734)",1
E 15-005921-S&C,Electrical Permit,Active/Issued,Service & Circuits ,Residential Repair/Alter,"MONDAY, JANUARY 26, 2015",$3000.00,,Julaine Mccabe Schmidt,"1478 HAGUE AVE
Saint Paul, MN
(44.94577, -93.162713)",1
E 15-005725-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"MONDAY, JANUARY 26, 2015",$1500.00,,Fatuma Robele,"798 GERANIUM AVE E
Saint Paul, MN
(44.975712, -93.06684)",1
E 15-005822-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"MONDAY, JANUARY 26, 2015",$500.00,,Marilyn J Winsor,"1164 MARYLAND AVE E
Saint Paul, MN
(44.977552, -93.051354)",1
E 15-005849-S&C,Electrical Permit,Inspected,Service & Circuits ,Residential Repair/Alter,"MONDAY, JANUARY 26, 2015",$400.00,,CASCADE ELECTRIC LLC,"1471 HAZEL ST N
Saint Paul, MN
(44.985808, -93.020175)",1
E 15-005900-ELC,Electrical Permit,Inspected,Electrical,Residential Repair/Alter,"MONDAY, JANUARY 26, 2015",$750.00,,Mr Joseph Widmer WIDMER ELECTRIC INC,"2119 WATSON AVE
Saint Paul, MN
(44.924325, -93.190014)",1
E 15-005933-S&C,Electrical Permit,Inspected,Service & Circuits ,Commercial Repair/Alter,"MONDAY, JANUARY 26, 2015",$1000.00,,Joe Kunkel NU Electric Company,"699 7TH ST E
Saint Paul, MN
(44.958596, -93.072727)",1
EV 15-004258-PAS,Elevating Device,Active/Issued,Passenger,Commercial Repair/Alter,"MONDAY, JANUARY 26, 2015",$2400.00,,DOUG HUFFORD KONE Inc,"1079 SUMMIT AVE - ST LUKES RECTORY
Saint Paul, MN
",1
EV 15-004816-FRT,Elevating Device,Active/Issued,Freight,Commercial Modernization,"MONDAY, JANUARY 26, 2015",$242800.00,,All City Elevator Inc,"85 7TH PLACE E - Golden Rule Bldg
Saint Paul, MN
(44.948882, -93.092719)",1
EV 15-004819-PAS,Elevating Device,Active/Issued,Passenger,Commercial Modernization,"MONDAY, JANUARY 26, 2015",$216787.00,,All City Elevator Inc,"85 7TH PLACE E - Golden Rule Bldg
Saint Paul, MN
(44.948882, -93.092719)",1
EV 15-005476-PAS,Elevating Device,Active/Issued,Passenger,Residential Modernization,"MONDAY, JANUARY 26, 2015",$130223.00,,All City Elevator Inc,"289 5TH ST E - Market House Condominium - Common Areas
Saint Paul, MN
",1
EV 15-005483-PAS,Elevating Device,Active/Issued,Passenger,Residential Modernization,"MONDAY, JANUARY 26, 2015",$130223.00,,All City Elevator Inc,"289 5TH ST E - Market House Condominium - Common Areas
Saint Paul, MN
",1
EV 15-004813-ACC,Elevating Device,Inspected,Accessibility Lift,Commercial Modernization,"MONDAY, JANUARY 26, 2015",$27000.00,,All City Elevator Inc,"85 7TH PLACE E - Golden Rule Bldg
Saint Paul, MN
(44.948882, -93.092719)",1
M 15-001298-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$200.00,,DAVID REILAND METRO HEATING AND COOLING LLC,"2041 OAKRIDGE ST
Saint Paul, MN
(44.921851, -93.013854)",1
M 15-003617-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$103.00,,ROBERT UNDERDAHL ASSURED COMFORT HEATING & AIR COND LLC,"1596 MARGARET ST
Saint Paul, MN
(44.961301, -93.033133)",1
M 15-003859-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$300.00,,BRIAN NERISON KB SERVICE CO INC,"763 BURR ST
Saint Paul, MN
(44.963996, -93.079905)",1
M 15-005087-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$500.00,,RICKY ANDERSON ANDERSON'S RESIDENTIAL HEATING & A/C INC,"1559 HUDSON ROAD
Saint Paul, MN
(44.952502, -93.034437)",1
M 15-005226-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$2200.00,,DAVID ROBERTS DAVE'S HEATING A/C AND ELECTRIC,"742 MAGNOLIA AVE E
Saint Paul, MN
(44.973877, -93.069181)",1
M 15-005501-GAS,Mechanical Permit,Active/Issued,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$3176.00,,WALTER BONFE BONFES PLBG & HTG INC,"1364 MARGARET ST
Saint Paul, MN
(44.961298, -93.042843)",1
M 15-005700-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$3000.00,,BENJAMIN STERN STERN HEATING & COOLING INC,"561 COTTAGE AVE E
Saint Paul, MN
(44.982828, -93.077245)",1
M 15-005704-GAS,Mechanical Permit,Inspected,Gas,Residential Replace,"MONDAY, JANUARY 26, 2015",$3000.00,,BENJAMIN STERN STERN HEATING & COOLING INC,"563 COTTAGE AVE E
Saint Paul, MN
(44.982831, -93.076887)",1
PG 15-004633-PLB,Plumbing/Gasfitting/Inside Water Piping,Active/Issued,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 26, 2015",$800.00,,JAMES LARSON LARSON PLUMBING & HEATING,"1598 CHELSEA ST
Saint Paul, MN
(44.98934, -93.153995)",1
PG 15-005445-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Repair,"MONDAY, JANUARY 26, 2015",$1200.00,,"JACOB REYNOLDS RESOURCE PLUMBING, HEATING AND AIR","1471 HAZEL ST N
Saint Paul, MN
(44.985808, -93.020175)",1
PG 15-005477-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Residential Replace,"MONDAY, JANUARY 26, 2015",$5000.00,,MICHAEL TROWBRIDGE TROWBRIDGE PLUMBING LLC,"799 PIERCE BUTLER ROUTE
Saint Paul, MN
(44.964718, -93.133771)",1
PG 15-005529-PLB,Plumbing/Gasfitting/Inside Water Piping,Inspected,Plumbing/Inside Water (All),Commercial Alter,"MONDAY, JANUARY 26, 2015",$8000.00,,TERRY NELSON TERRY NELSON PLUMBING INC,"2175 HENDON AVE
Saint Paul, MN
(44.985798, -93.192089)",1
W 15-005794-VEN,"Warm Air, Ventilation & General Sheet ",Inspected,Ventilation Only,Residential Repair/Alter,"MONDAY, JANUARY 26, 2015",$300.00,,Mr GEORGE CARLSON TEAM MECHANICAL INC,"1065 LAUREL AVE
Saint Paul, MN
(44.94502, -93.145081)",1
B 15-126857-REM,Building Permit,Active/Issued,Accessory Structure,Remodel,"MONDAY, JULY 06, 2015",$5000.00,$5000.00,ALL ENERGY SOLAR INC,"1060 ASHLAND AVE
Saint Paul, MN
(44.943956, -93.144937)",1
B 15-127408-RPR,Building Permit,Active/Issued,2-Family/Duplex,Repair,"MONDAY, JULY 06, 2015",$2000.00,$2000.00,BALANCING ROCK DESIGN CONTRACTING INC,"408 LAUREL AVE
Saint Paul, MN
(44.94542, -93.117285)",1
B 15-130640-REM,Building Permit,Active/Issued,Commercial,Remodel,"MONDAY, JULY 06, 2015",$194000.00,$194000.00,BECKER BUILDING AND REMODELING LLC,"2200 UNIV. W -#160 - MINNESOTA GASTROENTEROLOGY PA
Saint Paul, MN
",1
B 15-131124-NEW,Building Permit,Active/Issued,Institutional,New,"MONDAY, JULY 06, 2015",$24037561.00,$24037561.00,MORTENSON CONSTRUCTION,"95 UNIVERSITY AVE W - MN Capitol Office Bldg
Saint Paul, MN
(44.955858, -93.103655)",1
B 15-132669-NEW,Building Permit,Active/Issued,Accessory Structure,New,"MONDAY, JULY 06, 2015",$1.00,$17472.00,SUSSEL CORP,"220 STEVENS ST W
Saint Paul, MN
(44.928599, -93.094822)",1
B 15-135152-NEW,Building Permit,Active/Issued,Accessory Structure,New,"MONDAY, JULY 06, 2015",$18500.00,$18500.00,Timothy C Mahoney,"1091 HYACINTH AVE E
Saint Paul, MN
(44.98026, -93.054417)",1
B 15-135386-RPR,Building Permit,Active/Issued,2-Family/Duplex,Repair,"MONDAY, JULY 06, 2015",$2020.00,$4400.00,Phillip G Baker,"432 SUPERIOR ST
Saint Paul, MN
(44.935986, -93.118034)",1
B 15-136398-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"MONDAY, JULY 06, 2015",,$3198.00,HOME DEPOT AT HOME SERVICES THE,"255 PEDERSEN ST
Saint Paul, MN
(44.949169, -93.012595)",1
B 15-136399-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"MONDAY, JULY 06, 2015",,$5186.00,HOME DEPOT AT HOME SERVICES THE,"1223 NILES AVE
Saint Paul, MN
(44.925107, -93.151921)",1
B 15-136402-EXP,Building Permit,Active/Issued,Single Family Dwelling,Express Repair,"MONDAY, JULY 06, 2015",,$4872.00,HOME DEPOT AT HOME SERVICES THE,"2143 MARSHALL AVE
Saint Paul, MN
(44.948422, -93.190874)",1
